id,name,category,status,implementation,source,workflow
1,Natural-language weather questions,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
2,Rain questions,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
3,Umbrella recommendations,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
4,Simple weather explanations,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
5,Follow-up questions,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
6,Conversation memory,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
7,Location-aware responses,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
8,Time-aware weather questions,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
9,Compare two locations,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
10,AI-generated daily weather summary,AI Assistant,LIVE,frontend+n8n,n8n + Gemini + grounded weather data,See workflow map
11,Current temperature,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
12,Feels-like temperature,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
13,Minimum / maximum temperature,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
14,Humidity,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
15,Wind speed,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
16,Wind direction,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
17,Atmospheric pressure,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
18,Visibility,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
19,Cloud cover,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
20,UV index,Core Weather,LIVE,frontend+n8n,Open-Meteo,See workflow map
21,Hourly forecast,Forecasting,LIVE,frontend+n8n,Open-Meteo,See workflow map
22,24-hour forecast,Forecasting,LIVE,frontend+n8n,Open-Meteo,See workflow map
23,7-day forecast,Forecasting,LIVE,frontend+n8n,Open-Meteo,See workflow map
24,Rain probability,Forecasting,LIVE,frontend+n8n,Open-Meteo,See workflow map
25,Expected rainfall amount,Forecasting,LIVE,frontend+n8n,Open-Meteo,See workflow map
